plate,totalowed
T101330C,2185
T103751C,2185
T672946C,2185
T692688C,2183.84
T741459C,2177.5
2V18C,2173.19
2V19H,2173.19
T752594C,2169.26
T795314C,2169.0299999999997
T736398C,2167.2599999999993
T739659C,2166.76
BASSE,2165.26
T791097C,2165.1800000000003
T793962C,2160.17
T750179C,2150
1B21H,2145.8300000000004
T703282C,2138.4500000000003
ROIKN82,2137.86
T722910C,2135.05
T735511C,2132.46
T674169C,2131.13
T693005C,2130.25
T690581C,2130.25
T691639C,2130.25
T713186C,2130.25
T728943C,2130.25
T742925C,2130.25
T751653C,2130.25
T668286C,2130.25
T770946C,2130.25
T741957C,2130.25
T693525C,2130.25
T705329C,2130.25
T698864C,2130.25
T721525C,2130.25
T742286C,2130.25
4F53C,2128.8900000000003
T633634C,2119.35
T780692C,2110
T103275C,2105
T741258C,2104.71
T807862C,2103.62
T706956C,2095.4300000000003
T780229C,2095
T803640C,2091.38
T803606C,2091.38
T773052C,2091.38
T803632C,2091.38
T789955C,2091.38
T803612C,2091.38
T806380C,2091.38
T803614C,2091.38
T793821C,2091.38
T689494C,2091.38
T776764C,2091.38
T661395C,2091.38
T622078C,2091.38
T101813C,2091.38
T803635C,2091.38
T619044C,2091.38
T785940C,2090.04
T719449C,2090.04
T719445C,2090.04
T758050C,2090
T788590C,2088.62
T640036C,2086.72
T674802C,2085
T661714C,2085
T739746C,2082.9300000000003
5E54C,2080.71
T789899C,2080
T761026C,2077.24
6H63A,2077.06
T737831C,2076.83
T769435C,2073.6800000000003
T757507C,2073.05
T731895C,2073.05
7C78H,2072.3500000000004
T677915C,2070
T677577C,2070
T747800C,2070
T799660C,2070
T739247C,2070
T671053C,2070
T739230C,2070
T519870C,2070
T785795C,2069.96
T800666C,2068.51
T779267C,2065.3
T787224C,2065
T728828C,2060.17
T791053C,2060
T638646C,2060
1E36C,2047.25
MLUXXURY,2045
T768159C,2042.54
T770902C,2035.9
T734796C,2033.66
T749711C,2030.3
T103434C,2030
T795985C,2030
T721519C,2030
T795981C,2030
T721518C,2030
T762594C,2030
T713131C,2030
T103435C,2030
T803608C,2030
T761385C,2030
T762596C,2030
T713135C,2030
T744816C,2028.8100000000006
T785124C,2024.0800000000002
T777033C,2020.51
T761122C,2015
T722672C,2011.6599999999999
T634267C,2010.43
T745142C,2010.1599999999999
T760190C,2005.94
ABT16,2000
ABT22,2000
